[ INFO ]    [ 00:44:48 ]  >> Using version 0.0.1 for scene /home/michiel/Coding/CSGameEngine/Engine/bin/Debug/net9.0/Resources/Scenes/PhysicsTest.scene
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0001
[ DEBUG ]   [ 00:44:49 ]  >> Fixed FPS: 0.0174
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0172
[ DEBUG ]   [ 00:44:49 ]  >> Fixed FPS: 0.0143
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0069
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0005
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0006
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0005
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0004
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> Fixed FPS: 0.0101
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0004
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0003
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0006
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0005
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0004
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0001
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0003
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0005
[ DEBUG ]   [ 00:44:49 ]  >> Fixed FPS: 0.0105
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0006
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0004
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0003
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0003
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0005
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0005
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0004
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
[ DEBUG ]   [ 00:44:49 ]  >> FPS: 0.0002
